Latitude,Longitude
13.2262,77.68685
13.22639,77.68706
13.22685,77.68751
13.22727,77.68791
13.22754,77.68818
13.2281,77.68872
13.22869,77.68929
13.22908,77.68965
13.22937,77.68994
13.23014,77.69069
13.23039,77.69093
13.23095,77.69148
13.23131,77.69184
13.23186,77.69237
13.23231,77.69282
13.23307,77.69355
13.23372,77.69418
13.23414,77.69459
13.2345,77.69495
13.23487,77.6953
13.23542,77.69583
13.23577,77.69617
13.23606,77.69645
13.23631,77.69668
13.23684,77.69721
13.2372,77.69756
13.23752,77.69788
13.23783,77.6982
13.23798,77.69836
13.23813,77.69854
13.23831,77.69877
13.23859,77.69914
13.23891,77.69953
13.23955,77.70035
13.23996,77.70086
13.24048,77.70152
13.24102,77.7022
13.24174,77.70309
13.24196,77.70336
13.24204,77.70344
13.24242,77.7038
13.24248,77.70386
13.24257,77.70394
13.24278,77.70415
13.24302,77.70437
13.24331,77.7046
13.24343,77.70469
13.24374,77.70488
13.24409,77.70509
13.2444,77.70525
13.24477,77.70541
13.24514,77.70554
13.24558,77.70568
13.24603,77.70578
13.24701,77.70601
13.24718,77.70606
13.24725,77.70608
13.24731,77.70609
13.24786,77.70624
13.24841,77.7064
13.24901,77.70657
13.24938,77.70665
13.25013,77.70682
13.2506,77.70693
13.25134,77.70711
13.25175,77.70721
13.25205,77.70729
13.2525,77.70744
13.25289,77.7076
13.25354,77.70792
13.25381,77.70809
13.25388,77.70813
13.25415,77.70832
13.25437,77.70847
13.25471,77.70876
13.25499,77.70903
13.25525,77.70928
13.25545,77.70952
13.25559,77.7097
13.25577,77.70992
13.25601,77.71027
13.25615,77.71051
13.25641,77.71093
13.25689,77.71173
13.25744,77.71261
13.25771,77.71303
13.25806,77.71347
13.25829,77.71374
13.25875,77.7142
13.25919,77.71459
13.25961,77.71491
13.26006,77.71523
13.26049,77.71553
13.26094,77.71583
13.26199,77.71655
13.26251,77.7169
13.26308,77.71728
13.26361,77.71764
13.26424,77.71807
13.26487,77.71849
13.26561,77.71893
13.2662,77.7192
13.26667,77.71938
13.26721,77.71956
13.26757,77.71966
13.2684,77.71986
13.26908,77.72001
13.26975,77.72015
13.27239,77.72068
13.27458,77.72112
13.27677,77.72154
13.27776,77.72175
13.27849,77.72187
13.27924,77.72202
13.2808,77.72236
13.28234,77.72268
13.2829,77.72279
13.28341,77.72288
13.2838,77.72296
13.28703,77.72359
13.28731,77.72364
13.28906,77.72395
13.29082,77.72425
13.29145,77.72438
13.29173,77.72444
13.29262,77.72463
13.2937,77.72489
13.29374,77.7249
13.29487,77.72524
13.29536,77.72537
13.29541,77.72538
13.29555,77.7254
13.29564,77.7254
13.29566,77.72541
13.29611,77.72544
13.29655,77.72547
13.29666,77.72548
13.29766,77.72549
13.29895,77.72552
13.29969,77.72552
13.30102,77.72551
13.30189,77.7255
13.30222,77.7255
13.30361,77.72549
13.30489,77.72548
13.30497,77.72547
13.30527,77.72546
13.30627,77.72542
13.30741,77.72542
13.3086,77.72545
13.30872,77.72544
13.30995,77.72546
13.31079,77.72546
13.31195,77.72547
13.3124,77.72547
13.3131,77.72548
13.31434,77.72547
13.31586,77.72547
13.31723,77.72548
13.31852,77.72548
13.31956,77.72549
13.31996,77.72549
13.32142,77.72549
13.32269,77.7255
13.32399,77.7255
13.32537,77.72551
13.32673,77.7255
13.32744,77.7255
13.32754,77.72549
13.32774,77.72549
13.3282,77.72549
13.32832,77.72549
13.32911,77.72549
13.3299,77.7255
13.33065,77.7255
13.3315,77.7255
13.33255,77.72551
13.33336,77.7255
13.33466,77.72551
13.33548,77.72551
13.33579,77.7255
13.33689,77.72549
13.33708,77.72549
13.33838,77.7255
13.33849,77.7255
13.33976,77.72551
13.3409,77.72552
13.34139,77.72552
13.34155,77.72552
13.34171,77.72552
13.34263,77.72552
13.34267,77.72552
13.34316,77.72552
13.34409,77.72552
13.34492,77.72551
13.34584,77.72551
13.34606,77.72551
13.34675,77.72552
13.34857,77.72551
